CRESCENTE
BUBBLESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0,0,0,
500,0,0,0,
INSERTIONSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0,0,0,
500,0,0,0,
MERGESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,101,101,101,
500,501,501,501,
HEAPSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0,0,0,
500,0,0,0,
QUICKSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,4950,9900,14850,
500,139600,264350,389100,
DECRESCENTE
BUBBLESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,4950,4950,4950,
500,124750,124750,124750,
INSERTIONSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,4950,4950,4950,
500,124750,124750,124750,
MERGESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,101,101,101,
500,501,501,501,
HEAPSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0,0,0,
500,0,0,0,
QUICKSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,391550,394000,396450,
500,458700,520950,583200,
ALEATORIO
BUBBLESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,2609,2541,2310,
500,62953,57933,59724,
INSERTIONSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,2526,2525,2000,
500,60745,60796,60078,
MERGESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,101,101,101,
500,501,501,501,
HEAPSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,0,0,0,
500,0,0,0,
QUICKSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,583540,583992,584423,
500,587391,591039,594594,
