CRESCENTE
BUBBLESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,124.000000,126.000000,126.000000,
500,127.000000,129.000000,130.000000,
INSERTIONSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,132.000000,132.000000,132.000000,
500,133.000000,133.000000,135.000000,
MERGESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,136.000000,136.000000,136.000000,
500,137.000000,138.000000,139.000000,
HEAPSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,141.000000,142.000000,142.000000,
500,152.000000,153.000000,155.000000,
QUICKSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,160.000000,161.000000,163.000000,
500,167.000000,170.000000,173.000000,
DECRESCENTE
BUBBLESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,186.000000,193.000000,194.000000,
500,199.000000,206.000000,216.000000,
INSERTIONSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,224.000000,226.000000,227.000000,
500,235.000000,244.000000,253.000000,
MERGESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,262.000000,265.000000,266.000000,
500,270.000000,272.000000,274.000000,
HEAPSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,278.000000,283.000000,284.000000,
500,287.000000,290.000000,293.000000,
QUICKSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,296.000000,300.000000,301.000000,
500,305.000000,307.000000,309.000000,
ALEATORIO
BUBBLESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,316.000000,318.000000,319.000000,
500,323.000000,326.000000,328.000000,
INSERTIONSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,337.000000,338.000000,339.000000,
500,341.000000,350.000000,370.000000,
MERGESORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,380.000000,391.000000,394.000000,
500,411.000000,417.000000,426.000000,
HEAPSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,439.000000,441.000000,445.000000,
500,452.000000,454.000000,472.000000,
QUICKSORT,REPETICAO 1, REPETICAO 2, REPETICAO 3
100,483.000000,484.000000,486.000000,
500,490.000000,491.000000,494.000000,
